"00176","VAN. SANDWCH"
"03743","CHP AHY"
"03744","NAB. FIG NEWTON"
"03745","NUTTER BUTTR"
"00055","NBC PREMIUM UNSALTED"
"00057","NBC PREM PLUS CRACKE"
"00068","NAB BISCO SUGAR WAFE"
"00159","NAB F/A WAFERS"
"00172","NBC TRISCUT WAFERS"
"00218","NBC GRAHAM CRKR CRUM"
"00224","NBC VEGETABLE THINS"
"00225","NBC WHEAT THINS"
"00329","NBC L/S PREMIUM"
"00335","NBC LORNA DOONE"
"00365","NAB O/F GINGER SNAPS"
"00379","NBC ANIMAL CRACKERS"
"00386","NBC PREMIUM SALTINES"
"00430","NAB R/F WHEAT THINS"
"00474","NBC R/F NILLA WAFERS"
"00665","NBC PINWHEEL COOKIES"
"00674","NBC MALLO COOKIE"
"00699","NBC PEANUT COOKIE"
"00978","NBC COMET CONES"
"00981","NBC COMET SUGAR CONE"
"03742","NBC OREO SS"
"04551","EASY CHEESE CHEDDAR"
"04552","EASY CHEESE AMERICAN"
"04553","EASY CHEESE SHARP CH"
"04557","TEDDY GRAHAMS CHOC"
"04558","TEDDY GRAHAMS CHOC"
"04559","TEDDY GRAHAMS CINNAM"
"04631","NBC NUTTER BUTTERS"
"04713","NBC F/F FIG NEWTON"
"04754","NBC DEVILS FOOD CAKE"
"04761","NBC COMET RAINBOW CU"
"04802","NBC MULTIGRAIN WHT T"
"04832","NBC PREMIUM W/MLTIGR"
"04833","NBC HONEY MAID PIE C"
"04834","NBC OREO PIE CRUST"
"04835","NBC NILLA  PIE CRUST"
"04836","NBC PIE CRUST SHIPPE"
"04868","NBC FF RASP NEWTONS"
"04869","NBC FF STRAW NEWTONS"
"04888","NBC SNKWLL CRM SANDW"
"04893","NBC OREO CHOC CONES"
"08842","NBC OREO BROWNIE BAR"
"08843","NBC CHIPS AHOY SS"
"08844","NBC FIG NEWTONS SS"
"08845","NBC NUTTER BUTTER SS"
"88145","NAB SNGL FF FIG NEWT"
"88176","NBC SNKWL CREME SAND"
"00145","FF FIG NEWTONS"
"00597","TEDDY GRAHAM CHOC CH"
"00878","BIG WHEAT THINS BKD"
"00320","LE FONDANT"
"00510","LE CHOCOLATIER"
"00810","LE PETIT BEURRE"
"00850","LU LE PIMS ORANGE"
"01250","PETITE ECOLIER DARK"
"08362","LE BASTOGNE"
"08364","PETITE ECOLIER MILK"
"08370","LE PIMS RASPBERRY"
"00130","NBC PREMIUM FF SALTI"
"88032","SS SWEET VARIETY PAC"
"88210","RITZ PNT BTR CRACKER"
"88211","RITZ CHEESE CRACKER"
"01592","MINI OREO SANDWICH"
"00488","NABISCO GRAHAMS"
"00463","HONEY MAID GRAHAMS"
"00489","LF HONEY MAID GRHMS"
"00457","CINN HONEY MAID GRHM"
"00490","LF CIN HNY MAID GRHM"
"00486","CHOC HNY MAID GRHM"
"01350","PETITE ECOLIER X DRK"
"03534","STND WHT THINS LOW A"
"03536","STND WHT THINS"
"03538","MIN STND WHEAT THIN"
"00078","RF TRISCUIT"
"00300","OREO DBL STUFF S/S"
"00768","MINI TG HNY SNACK"
"00773","NUTTER BUTTER BITES"
"00713","MINI CHIPS AHOY"
"00746","BARNUMS ANIMAL"
"07535","PLANTERS SLT PEANUTS"
"00617","OREO THINS"
"00610","CHIPS AHOY CRISPS"
"96690","CHIPS AHOY MODULE"
"04554","EASY CHEESE BACON"
"00609","RITZ SNK 100 CAL"
"08377","SHORTBREAD"
"01223","SNKWLL SF OREO"
"01090","WHEAT THINS MULTI GR"
"01120","WH GRN WHEAT THINS"
"01251","OREO CKSTICK N CRM"
"01252","CRKRS'N CHEESE"
"01253","BRDSTKS 'N CHEEZ"
"81157","DUNK'EM CHEESE N CRC"
"01563","CHIPS AHOY CANDY BLA"
"08554","PETIT WHT CHOC ECOLI"
"81200","OREO MULTI TRAY PAC"
